run,cap_azalma,karbon_fiyati,tesvik,ekonomik_buyume,teknoloji_maliyeti,yakit_fiyat_soku,final_emission,final_price,temiz_tesis,gdp_etkisi
0,0.04473562637086642,54.43446743254548,67167.6454082304,0.02594349359126741,888292.5317803589,1.0693440441721351,75.85986684343119,20,45,0.0
1,0.03752836141683383,83.7181500081138,109828.99656147153,0.04704394100669084,628273.618559032,1.2084813374142085,70.57198267224567,20,45,0.0
2,0.031133951480703602,145.1000748120735,34158.07955375883,0.02670342129680445,844420.0272105352,1.461386771638805,68.70418828222125,20,45,0.0
3,0.02278728441912208,119.26446434633121,145077.8850845623,0.04628321677528882,930399.3479552756,0.8833867472789788,69.74421044806341,20,45,0.0
4,0.04870742630475948,71.4972923028666,44063.61839463968,0.036604504785117106,619554.4835275816,0.8494262186421387,71.32409692542488,20,45,0.0
5,0.020486317184549428,66.11417268826196,39563.16719181257,0.031598111603190496,990754.1769735321,1.0263425052551902,72.31361256096083,20,45,0.0
6,0.02437984093879865,45.91279338895951,132236.12451637248,0.0359675129725819,728540.0627528371,1.2524450629443504,78.10829320031064,20,45,0.0
7,0.027116148509834414,118.76020195455476,116180.85809864738,0.04840108948604478,747538.0154564839,1.2370697935656925,70.2526898967937,20,45,0.0
8,0.032324650534676994,51.94876936890363,61236.527804868085,0.03279895822292572,1050346.8455262824,1.4500866945092634,75.00500688923735,20,45,0.0
9,0.035141000685550386,100.2036196959987,112160.69355828922,0.03781762994116243,1091630.1859851847,0.989885956550747,67.96948859076464,20,45,0.0
10,0.034271249196308286,133.7012369838058,134781.15200950275,0.046965018354986565,908623.393295736,0.9218896873912664,72.63622332227814,20,45,0.0
11,0.04900285009116387,98.17452926484918,64761.86465632332,0.04315616788313596,674231.7553840076,1.4416623791212921,70.54108202533425,20,45,0.0
12,0.021186372756119683,125.60189470629359,119521.86568844922,0.029503236932579842,785987.4626987596,0.8118676305620157,74.69003348532777,20,45,0.0
13,0.042382207774953363,140.21845619373713,84009.34481214915,0.03402183044412867,883658.2486733594,1.3587729011295746,75.76135608139667,20,45,0.0
14,0.028929196458727692,92.88382513799107,25437.690204160222,0.04504047802312429,1128369.8834718275,1.1530974873444788,69.23451076391656,20,45,0.0
15,0.035769865886504604,109.41140469528368,81692.17193920258,0.024858438562073697,1122530.6845219966,1.0071669128928669,71.61600014515145,20,45,0.0
16,0.04801642602550961,95.92571694832783,118340.390764358,0.03874488828209888,1107366.4445285888,0.8639506974431486,65.34860165117493,20,45,0.0
17,0.041823614695578534,104.71498446839199,85910.39883595747,0.022150515558697636,959500.6299136572,1.3250841285305768,75.69173310096805,20,45,0.0
18,0.04320208327260033,116.6820467844947,48331.152283921365,0.03849764421887787,852898.5585794784,1.1838651440441945,74.5702099369731,20,45,0.0
19,0.043791878117279096,122.29998591874087,123940.7099353228,0.02271061793783426,1190607.1772729964,1.498841780001086,74.96307201832776,20,45,0.0
20,0.027508005001497103,89.52044461242005,139761.65121706505,0.04131590635936583,836796.2920428973,1.3833580340372043,72.68342502525742,20,45,0.0
21,0.03468759655851708,80.8343947873289,32943.80859231114,0.02786230353689614,874317.0109320167,1.4082434939904533,69.82147681988664,20,45,0.0
22,0.021734854555318733,73.72107179531241,99868.79216201858,0.02076380323142787,1142776.2300969881,1.2044916267566175,64.97815806292333,20,45,0.0
23,0.023050392892917437,127.49352922003126,53702.72735394193,0.04977744662968254,1058042.523082411,1.1246844793910997,70.70724262793344,20,45,0.0
24,0.044409716664306376,66.50362133084656,92043.61362083569,0.03544642094565944,636767.4771594125,1.175695490553852,73.90560741845644,20,45,0.0
25,0.04997305362836461,107.24278646799331,92819.82353345482,0.03455083518832583,697310.4901094578,1.22149174704423,74.05103254929577,20,45,0.0
26,0.04668868498376813,149.30495608597226,103792.76767651143,0.027575805362675773,1102866.399983262,1.4755449454411136,73.33182457830831,20,45,0.0
27,0.03844252369044628,59.939011068825685,63573.47650498523,0.023701332396725058,1006160.588200506,0.9374902436857917,73.0427441098014,20,45,0.0
28,0.046040370325087496,134.8759635101576,55889.26986914211,0.030333557097055295,1176338.0828872684,1.4229896233931671,74.17077853641412,20,45,0.0
29,0.03731366149846925,44.369340167041955,50602.894322002976,0.032193404795832284,922538.0099444576,1.2689113809573112,70.05641559563233,20,45,0.0
30,0.04718344253861427,113.52154345971402,128680.58330568385,0.03337075572223052,963132.1919530135,1.0501651914781975,66.03644618240907,20,45,0.0
31,0.040925747717809796,101.75936238778569,78766.29669605516,0.043706849572789086,736045.629446837,1.3326212744013424,74.04880918076329,20,45,0.0
32,0.041428132263870765,75.36542145551354,149935.36532239572,0.028619614932991352,658729.231154991,1.0220352456411053,68.7167496510499,20,45,0.0
33,0.02574853140841022,110.47428979328501,23650.289361590632,0.04411738345063222,762391.4207813365,0.9710133117104695,71.9308769717632,20,45,0.0
34,0.025389297929613808,85.95988320711538,124443.48560130488,0.02046041555482014,941630.7649128113,0.8895157785101999,76.88960691877244,20,45,0.0
35,0.0452793566277344,142.0731642538548,29327.31391988843,0.04554447074817589,1012176.8276930402,1.3898551311554674,71.70953261588137,20,45,0.0
36,0.03352766187075422,79.054752961507,144184.6778562063,0.03691005874194565,802736.6630417506,0.9110681760026276,68.91421640159344,20,45,0.0
37,0.02384333980174613,138.67841886277608,69855.87310481351,0.023513676840217317,684948.3543301506,1.1056825558817063,70.83742394940218,20,45,0.0
38,0.02942916795059724,57.26205053057747,74299.72583447007,0.039766762754501445,1173904.3023487697,1.0932526529432196,75.31030035201796,20,45,0.0
39,0.03884531371033342,91.30242804104108,102176.56081223673,0.026297284257786664,1033499.9406931847,1.138084157224489,75.64411898594625,20,45,0.0
40,0.028373914962792325,88.00070349888765,107784.46333512857,0.02985726040895434,1159004.8508915617,1.3173104423210136,72.55638533445187,20,45,0.0
41,0.036575831516924256,47.6477435128212,58735.65305245034,0.040968822880120936,1020901.8975717833,0.9666124160178817,72.407680405711,20,45,0.0
42,0.03029385502904135,128.21416308335927,74653.11623047486,0.0417323134755372,976290.2006880534,0.8170940510359063,74.2181972604132,20,45,0.0
43,0.033119268674952115,63.020650320915195,96663.02053750491,0.021522320380643892,811378.9260467958,0.8330461142026805,66.51294386237728,20,45,0.0
44,0.030040122009499494,41.892509495901294,42157.51908753826,0.04806045803568268,667589.8582786184,1.2848705057024326,76.28763685979317,20,45,0.0
45,0.040203502661352475,69.96517902460076,20817.067301814543,0.03983068524397079,769003.8237655419,1.297267254003799,77.96835632760224,20,45,0.0
46,0.03180298327699719,146.622043462374,87993.74272918858,0.04891736490323176,1073607.3326872112,0.9451391531902533,73.47078535344586,20,45,0.0
47,0.03962710663149052,130.78323504291734,131273.7480578731,0.04228356855900446,718414.7659523815,1.3653986836324132,75.71421164315683,20,45,0.0
48,0.02654294255106204,49.40342561780286,139380.31763105886,0.031317555241977324,600493.437049091,1.1107876215348087,71.6553924367582,20,45,0.0
49,0.02204379079732019,58.078226969815,36132.70141864398,0.02464796998769649,820919.0892557002,1.0646693112340984,75.94044016422654,20,45,0.0
